var,context,short def,long def,number of vars in sentence,context length,distance
a,where a is the capillary length T is the,length,capillary length,1,9,4
g,ρ is the liquid density and g is the effective gravity,gravity,effective gravity,2,11,4
s,finite clusters the “sol” with mass s and the gel with mass g,mass,mass,2,13,1
Fk,The size distribution Fk of frozen clusters of size k has a,distribution,size distribution,2,12,1
γ,that freezing leads to an additional nontrivial critical exponent γ,exponent,additional nontrivial critical exponent,1,10,1
k,The size distribution Fk of frozen clusters of size k has a universal tail,size,size,2,14,8
αc,There is a critical freezing rate αc,rate,critical freezing rate,1,7,1
m,The moments m provide a useful probe of the,moment,moment,1,9,1
α,clusters may become frozen at a size independent constant rate α,rate,independent constant rate,1,11,1
ck,cluster size distribution is obtained using the transformed distribution ck and the modified time variable,distribution,transformed distribution,1,15,7
ω,This theory assumes that the frequency ω and temperature T dependent,frequency,frequency,2,11,1
T,This theory assumes that the frequency ω and temperature T dependent,temperature,temperature,2,11,1
U,a range of hole doping and onsite interaction parameter U,parameter,onsite interaction parameter,1,10,1
δ,axial segregation as a function of the dimensionless parameter δ suggests that a scaling,parameter,dimensionless parameter,1,14,1
d,the tube diameter D and the average grain size d Although the phenomenon of axial segregation has been,size,average grain size,2,18,5
ω,that might be relevant such as the rotation frequency ω the filled volume fraction η and the size,frequency,rotation frequency,2,18,1
ϕ,filled volume fraction η and the size composition fraction ϕ were held fixed,fraction,size composition fraction,2,13,7
η,as the rotation frequency ω the filled volume fraction η and the size composition fraction ϕ were held,fraction,filled volume fraction,3,18,1
λ,the surface a well defined pattern of bands with wavelength λ emerges,wavelength,wavelength,1,12,1
D,as a function of the diameter of the tube D for a filling fraction of,tube,tube,1,15,1
G,A graph G is a pair of a finite,graph,graph,1,9,1
VR,distribution of the radial residual velocity VR and have,velocity,radial residual velocity,1,9,1
fR,radius vector with an amplitude of fR,amplitude,amplitude,1,7,2
ΔR,ring has a width of ΔR because we can ensure the completeness,width,width,1,12,2
m,spiral components with different numbers of arms m and,number,number of arm,1,9,3
i,where i is the pitch angle,angle,pitch angle,1,6,4
VR,minimum in the distribution of the radial residual velocity VR and have,velocity,radial residual velocity,1,12,1
fθ,Indeed the velocity perturbation amplitudes fR and fθ for young stars must be proportional to λ,amplitude,velocity perturbation amplitude,2,16,3
j,Let j be the positive integers,integer,positive integer,1,6,4
ω,between the wave number k and the wave frequency ω,frequency,wave frequency,2,10,1
k,which expresses a relation between the wave number k and the wave frequency ω,number,wave number,2,14,1
Ui,where Ui are the velocities of the centers of the,velocity,velocity fo the center,1,10,3
dX,relation between the (differential) displacement dX and the (differential) controls,displacement,(differential) displacement,1,10,1
v,we assume that their total volume v is conserved,volume,total volume,1,9,1
τ,Let τ denote the stroke period,period,stroke period,1,6,4
as,where as is the radius of the small bladder,radius,radius of small bladder,1,9,3
Tℓ,where Tℓ is the time for traversing the horizontal,time,time for traversing,1,9,3
f,single sphere of radius a dragged by a force f and in addition dilated at rate,force,force,1,16,1
R,assume that the Reynolds number R,number,Reynolds number,1,6,1
Δf,where the frequency shift Δf of an oscillating cantilever with stiffness,shift,frequency shift,1,11,1
κI,For the tunneling current we find a decay constant κI at the,constant,decay constant,1,12,1
ΔEts,interactions lead to damping and the energy ΔEts that has to be provided for each oscillation,energy,energy,1,16,1
k,an oscillating cantilever with stiffness k eigenfrequency f and oscillation,stiffness,stiffness,2,10,1
A,eigenfrequency f and oscillation amplitude A is used as the imaging signal,amplitude,oscillation amplitude,2,12,1
q,probability P(qt) of having a fraction q of positive spins at time t is in,fraction,fraction,3,15,1
t,time as the number of attempted updates per node t according to the,number,number of attempted updates per node,1,13,6
m,where m is the initial magnetization,magnetization,initial magnetization,1,6,4
si,In both cases a single variable si that may assume only two values,variable,single variable,1,13,1
L,different total angular momentum L and total spin S are mixed the resulting,momentum,total angular momentum,2,13,1
S,total angular momentum L and total spin S are mixed the resulting values,spin,total spin,2,13,1
α,to variation of the fine structure constant α increases proportional,constant,fine structure constant,1,10,1
D,The interval between different D states of,state,different state,1,7,1
ni,where ni is the electron density field,field,electron density field,1,7,5
N,where N is the number of channels in a tunnelling,number,number of channel,1,10,3
ECij,of the interaction is given by the charging energy ECij,energy,charging energy,1,10,1
D,higher order diagrams include the single grain diffusion propagator D,propagator,single grain diffusion propagator,1,10,1
P,The probability P is given by the,probability,probability,1,7,1
σ,with σ being the high temperature conductivity that resembles Efros,conductivity,high temperature conductivity,1,10,5
Pk,be written as a product of the sequential probabilities Pk as,probability,sequential probability,1,11,1
r,κ is the dielectric constant of the insulator and r is the distance from the granule to the,distance,distance,2,18,3
gk,where gk is the tunneling conductance between the kth and,conductance,tunneling conductance,1,10,4
Z,functional using the diagrammatic expansion of the partition function Z in tunnelling matrix elements ,function,partition function,1,14,1
U,where U can be viewed as a Coulomb energy of,energy,Coulomb energy,1,10,7
g,We assume that the dimensionless tunneling conductance g is smaller than the intragranule conductance,conductance,dimensionless tunneling conductance,1,14,1
λ,d is the thickness of the insulating layer and λ is the localization length within the insulator the,length,localization length,2,18,4
A,The lower part in Fig. 2b represents the tunneling amplitude A from the site i to the site iK,amplitude,tunneling amplitude,3,18,1
Δ,two current states and are separated by an energy Δ,energy,energy,1,10,1
hfm,Photons of energy hfm drive transitions between the two qubit,energy,energy,1,10,1
τϕ,We measured the dephasing time τϕ from Ramsey fringes,time,dephasing time,1,9,1
ΦS,determine the state of the system: the SQUID flux ΦS and the qubit fluxes ΦQ and ΦQ,flux,SQUID flux,3,17,1
ΦQ,When the applied flux bias ΦQ is at a degeneracy point,bias,applied flux bias,1,11,1
τR,of a resonance peak and obtained the relaxation time τR from an exponential fit,time,relaxation time,1,14,1
LQ,the two qubits it encloses has a calculated inductance LQ,inductance,calculated inductance,1,10,1
n,where n is the number density of,density,number density,1,7,4
kB,where kB is Boltzmann’s constant,constant,Boltzmann's constant,1,5,3
m,Here m is the bare atomic mass α is the,mass,bare atomic mass,1,10,5
α,Here m is the bare atomic mass α is the strength of the harmonic potential U,strength,strength of harmonic potential,3,16,3
Er,with the lattice recoil energy Er,energy,lattice recoil energy,1,6,1
U,mass α is the strength of the harmonic potential U is the depth of the standing wave potentials,potential,depth of standing wave potential,2,18,1
I,conserved functional and interpret it as the norm square I or the full probability,square,norm square,1,14,1
m,where m is the mass of an elementary particle like,mass,mass of an elementary particle,1,10,3
H,mass and velocities at that scale and H denotes the scaled Planck constant,constant,scaled Planck constant,1,13,5
R,N∼ is the number of stars in a galaxy R being the radius of the universe,radius,radius of the universe,2,16,3
I,ground state HFS in hydrogen which has nuclear spin I,spin,nuclear spin,2,10,1
τ,be easily stored for long times therefore the lifetime τ of the upper hyperfine state is,lifetime,lifetime,1,16,1
νc,when ν is set to half the cyclotron frequency νc the density is maximum (Brillouin limit),frequency,cyclotron frequency,1,16,1
d,ion cloud temperature of 4 K and a trap parameter d,parameter,trap parameter,1,10,1
Z,the s groundstate HFS scales with the atomic number Z as Z the ground state HFS of hydrogenlike,number,atomic number,2,18,1
ν,There are two limits for the rotation frequency ν,frequency,rotation frequency,1,9,1
νm,is reached when ν equals the singleion magnetron frequency νm,frequency,singleion magnetron frequency,1,10,1
νz,and an axial frequency νz,frequency,axial frequency,1,5,1
ΔM,Finally they assumed that the magnification ΔM by the lens does not depend on wavelength,magnification,magnification,1,15,1
E,leads to increasing dependence of inelasticity with energy till E,energy,energy,1,10,2
t,If we now identify the new generating variable t and deviation variable z,variable,new generating variable,2,13,1
ρnn,Alternatively we now consider the diagonal matrix elements ρnn,element,diagonal matrix element,1,9,1
pth,of same order or larger than the thermal probability pth,probability,thermal probability,1,10,1
pup,and pup as the probability to be measured,probability,probability,1,8,3
n,may be extended to nstate systems given the first n moments of the Hamiltonian and the n,moment,moment,1,17,1
ρnm,the energy basis the density matrix is given by ρnm,matrix,density matrix,1,10,4
ρ,given by tracing out the environmental degrees of freedom ρ,degree,environmental degree of freedom,1,10,3
z,and deviation variable z,variable,deviation variable,1,4,1
Z,The generating function Z may be calculated conveniently by tracing in the,function,generating function,1,12,1
H,We consider a general Hamiltonian H that couples,Hamiltonian,general Hamiltonian,1,8,1
α,For vanishing coupling constant α the first term is just the density,constant,vanishing coupling constant,1,12,1
i,coefficient ai of ti counts points with first coordinate i,coordinate,first coordinate,3,10,1
