var,context,def
"θ∼","location of the bowshock highest being at an angle θ∼","angle"
"k","consequently the second amicable number is the sum of k odd numbers","numbers"
"I","to an amputated graph with V vertices I internal lines and","lines"
"γμ","where the γμ are the usual Minkowski space gamma","gamma"
"T","and T is the temperature","temperature"
"V","to an amputated graph with V vertices I internal lines and external","vertices"
"R","the radius of a stellar core in equilibrium conditions R and the actual solar radius R⊙","radius"
"VD","we define the volume of the Debye-Hückel sphere VD","volume"
"kBT","kBT is the electron density","energy"
"Z¯","where Z¯ is the average chemical composition and e","composition"
"n","n is the electron density","density"
"ΔT","Temperature fluctuations ΔT of order between","fluctuations"
"U","According to virial theorem  the potential energy U of particles with Coulomb interaction is equal to","energy"
"q","strong correlations of the fspins at a wave vector q in the singlechannel model","vector"
"S","channels M is greater than twice the impurity spin S","spin"
"M","conduction electron channels if the degeneracy of the channels M is greater than twice the impurity spin S","degeneracy"
"σ","and spin projection σ","projection"
"j","The opacity in the mode j depends on the photon frequency","mode"
"T","photon frequency ω magnetic field B density ρ temperature T and the angle θB between the magnetic field","temperature"
"B","on the photon frequency ω magnetic field B density ρ temperature T and the angle θB","field"
"θB","density ρ temperature T and the angle θB between the magnetic field","angle"
"B∼","thermal radiation from hydrogen NS atmospheres with magnetic fields B∼","fields"
"ρ","frequency ω magnetic field B density ρ temperature T and the angle","density"
"h","observed depend on the liquid depth h which plays the role of","depth"
"a","where a is the capillary length T is the","length"
"g","ρ is the liquid density and g is the effective gravity","gravity"
"s","finite clusters the “sol” with mass s and the gel with mass g","mass"
"Fk","The size distribution Fk of frozen clusters of size k has a","distribution"
"γ","that freezing leads to an additional nontrivial critical exponent γ","exponent"
"k","The size distribution Fk of frozen clusters of size k has a universal tail","size"
"αc","There is a critical freezing rate αc","rate"
"m","The moments m provide a useful probe of the","moments"
"α","clusters may become frozen at a size independent constant rate α","rate"
"ck","cluster size distribution is obtained using the transformed distribution ck and the modified time variable","distribution"
"ϵ𝒌","a positive infinitesimal number ϵ𝒌 is the Hartree-Fock one-electron dispersion","dispersion"
"ω","This theory assumes that the frequency ω and temperature T dependent","frequency"
"m𝒌","we have determined the momentum dependent effective mass m𝒌 in","mass"
"T","This theory assumes that the frequency ω and temperature T dependent","temperature"
"U","a range of hole doping and onsite interaction parameter U","parameter"
"δ","axial segregation as a function of the dimensionless parameter δ suggests that a scaling","parameter"
"d","the tube diameter D and the average grain size d Although the phenomenon of axial segregation has been","size"
"ω","that might be relevant such as the rotation frequency ω the filled volume fraction η and the size","frequency"
"ϕ","filled volume fraction η and the size composition fraction ϕ were held fixed","fraction"
"η","as the rotation frequency ω the filled volume fraction η and the size composition fraction ϕ were held","fraction"
"λ","the surface a well defined pattern of bands with wavelength λ emerges","wavelength"
"D","as a function of the diameter of the tube D for a filling fraction of","tube"
"G","A graph G is a pair of a finite","graph"
"VR","distribution of the radial residual velocity VR and have","velocity"
"fR","radius vector with an amplitude of fR","amplitude"
"ΔR","ring has a width of ΔR because we can ensure the completeness","width"
"m","spiral components with different numbers of arms m and","arms"
"i","where i is the pitch angle","angle"
"VR","minimum in the distribution of the radial residual velocity VR and have","velocity"
"fθ","Indeed the velocity perturbation amplitudes fR and fθ for young stars must be proportional to λ","amplitude"
"j","Let j be the positive integers","integers"
"ω","between the wave number k and the wave frequency ω","frequency"
"k","which expresses a relation between the wave number k and the wave frequency ω","number"
"Ui","where Ui are the velocities of the centers of the","velocities"
"dX","relation between the (differential) displacement dX and the (differential) controls","displacement"
"v","we assume that their total volume v is conserved","volume"
"τ","Let τ denote the stroke period","period"
"as","where as is the radius of the small bladder","radius"
"Tℓ","where Tℓ is the time for traversing the horizontal","time"
"f","single sphere of radius a dragged by a force f and in addition dilated at rate","force"
"R","assume that the Reynolds number R","number"
"Δf","where the frequency shift Δf of an oscillating cantilever with stiffness","shift"
"κI","For the tunneling current we find a decay constant κI at the","constant"
"ΔEts","interactions lead to damping and the energy ΔEts that has to be provided for each oscillation","energy"
"k","an oscillating cantilever with stiffness k eigenfrequency f and oscillation","stiffness"
"A","eigenfrequency f and oscillation amplitude A is used as the imaging signal","amplitude"
"q","probability P(qt) of having a fraction q of positive spins at time t is in","fraction"
"t","time as the number of attempted updates per node t according to the","node"
"m","where m is the initial magnetization","magnetization"
"si","In both cases a single variable si that may assume only two values","variable"
"L","different total angular momentum L and total spin S are mixed the resulting","momentum"
"S","total angular momentum L and total spin S are mixed the resulting values","spin"
"α","to variation of the fine structure constant α increases proportional","constant"
"D","The interval between different D states of","states"
"ni","where ni is the electron density field","field"
"N","where N is the number of channels in a tunnelling","number"
"ECij","of the interaction is given by the charging energy ECij","energy"
"D","higher order diagrams include the single grain diffusion propagator D","propagator"
"P","The probability P is given by the","probability"
"σ","with σ being the high temperature conductivity that resembles Efros","conductivity"
"Pk","be written as a product of the sequential probabilities Pk as","probabilities"
"r","κ is the dielectric constant of the insulator and r is the distance from the granule to the","distance"
"gk","where gk is the tunneling conductance between the kth and","conductance"
"Z","functional using the diagrammatic expansion of the partition function Z in tunnelling matrix elements ","function"
